και	c e
περιφρόνηση	p e r i f r ò n i s i
θέλησης	θ è l i s i s
λαϊκού	l a i k ù
ισπανική	i s p a n i c ì
άκουσαν	à k u s a n
περίπλοκη	p e r ì p l o c i
ωκεανό	o c e a n ò
εξάρχεια	e k s à r ç i a
συρρίκνωση	s i r ì k n o s i
διαφαίνεται	ð i/j a f è n e t e
αδύναμη	a ð ì n a m i
δίχτυα	ð ì x t i a
ξεπεράσουν	k s e p e r à s u n
πρόωρες	p r ò o r e s
αυξανόμενο	a v k s a n ò m e n o
δικτύωσης	ð i k t ì o s i s
πλαστική	p l a s t i c ì
έβλεπες	è v l e p e s
σύλλογοι	s ì l o ʝ i
σοσιαλιστές	s o s i/j a l i s t è s
δήμαρχο	ð ì m a r x o
θεωρω	θ e o r o
ναυτιλία	n a f t i l ì a
χριστόν	x r i s t ò n
σχηματίζει	s ç i m a t ì z i
πρέβεζα	p r è v e z a
σωτήρη	s o t ì r i
συνειδήσεις	s i n i ð ì s i s
διαλυθεί	ð i/j a l i θ ì
περίεργες	p e r ì e r ʝ e s
αποκλεισμός	a p o k l i z m ò s
κοστίζουν	k o s t ì z u n
τυποσ	t i p o s
επίσημης	e p ì s i m i s
στίχος	s t ì x o s
εκσυγχρονισμού	e k s i ɣ x r o n i z m ù
βρεθήκαμε	v r e θ ì k a m e
στράφηκε	s t r à f i c e
ίδρυσης	ì ð r i s i s
αυτοκριτική	a f t o k r i t i c ì
αναγνωρίζονται	a n a ɣ n o r ì z o d e
χειρότερος	ç i r ò t e r o s
εκατόν	e k a t ò n
τρότσκι	t r ò t s c i
ετοιμάσει	e t i m à s i
εγκατέλειψαν	e g a t è l i p s a n
καλυφθούν	k a l i f θ ù n
βήτα	v ì t a
γρηγόρη	ɣ r i ɣ ò r i
κλιματικές	k l i m a t i c è s
αντέδρασε	a d è ð r a s e
αλλάζοντας	a l à z o d a s
τρίγωνο	t r ì ɣ o n o
θοδωρής	θ o ð o r ì s
εγρήγορση	e ɣ r ì ɣ o r s i
αποδεχτεί	a p o ð e x t ì
αδιάφορα	a ð ʝ à f o r a
μαζεύει	m a z è v i
αυτώ	a f t ò
διατριβή	ð i/j a t r i v ì
στεφάνι	s t e f à n i
παλαιάς	p a l e à s
φάτσα	f à t s a
απόπειρες	a p ò p i r e s
έμελλε	è m e l e
βλάψει	v l à p s i
χυμό	ç i m ò
μπορέσεις	b o r è s i s
επικοινωνεί	e p i c i n o n ì
υγειονομικής	i ʝ i o n o m i c ì s
υπεράσπισης	i p e r à s p i s i s
ακουστικό	a k u s t i k ò
σιτάρι	s i t à r i
επιθετικά	e p i θ e t i k à
οπτικής	o p t i c ì s
διάλεξη	ð ʝ à l e k s i
διαδικτυακό	ð i/j a ð i k t i a k ò
καταφέρεις	k a t a f è r i s
υποψίες	i p o p s ì e s
αναμέτρησης	a n a m è t r i s i s
τουριστικά	t u r i s t i k à
διατυπώνει	ð i/j a t i p ò n i
στρεμμάτων	s t r e m à t o n
αρθρο	a r θ r o
χειμώνας	ç i m ò n a s
αύτη	à f t i
φορούσαν	f o r ù s a n
ταχύτατα	t a ç ì t a t a
διοξείδιο	ð i/j o k s ì ð i/j o
κατάλληλων	k a t à l i l o n
πλούτη	p l ù t i
λευκός	l e v k ò s
διαμέτρου	ð i/j a m è t r u
ανακτήθηκε	a n a k t ì θ i c e
δολοφονήθηκε	ð o l o f o n ì θ i c e
προσωπικότητά	p r o s o p i k ò t i t à
περιστρέφεται	p e r i s t r è f e t e
αποτελέσματά	a p o t e l è z m a t à
σάββας	s à v v a s
αγελάδες	a ʝ e l à ð e s
σκεφτόταν	s c e f t ò t a n
μαύρων	m à v r o n
κάιντα	k à i d a
ήττας	ì t a s
καθαρίζει	k a θ a r ì z i
αρχίδια	a r ç ì ð i/j a
εκτυπωτή	e k t i p o t ì
καρτέλ	k a r t è l
στρατιωτικός	s t r a t i/j o t i k ò s
ιακώβου	i a k ò v u
χάραξη	x à r a k s i
άντζελες	à d z e l e s
συναντήσετε	s i n a d ì s e t e
προβληματισμού	p r o v l i m a t i z m ù
ενσωματωμένο	e n s o m a t o m è n o
διατυπώσει	ð i/j a t i p ò s i
δεσμεύεται	ð e z m è v e t e
τελειώσουν	t e ʎ ò s u n
απολαύστε	a p o l à f s t e
εκπροσωπούν	e k p r o s o p ù n
στόχαστρο	s t ò x a s t r o
φωτογράφος	f o t o ɣ r à f o s
μοναξιάς	m o n a k s i à s
ενθουσιασμός	e n θ u s i/j a z m ò s
αραφάτ	a r a f à t
ισχυρότερη	i s ç i r ò t e r i
τουρκικών	t u r c i k ò n
διαφημιστική	ð i/j a f i m i s t i c ì
κάθετη	k à θ e t i
βελόνα	v e l ò n a
επο	e p o
κατασκευάστηκε	k a t a s c e v à s t i c e
γενετικά	ʝ e n e t i k à
τοποθετώντας	t o p o θ e t ò d a s
άγνωστοι	à ɣ n o s t i
εξειδικευμένες	e k s i ð i c e v m è n e s
μπερλουσκόνι	b e r l u s k ò n i
αναστασιάδης	a n a s t a s ç à ð i s
συνεπειών	s i n e p i ò n
τραγουδιστές	t r a ɣ u ð i s t è s
ανταγωνιστικές	a d a ɣ o n i s t i c è s
εθνικισμός	e θ n i c i z m ò s
καταβολής	k a t a v o l ì s
γκρίζα	g r ì z a
υπολογίζονται	i p o l o ʝ ì z o d e
αγγελία	a ɟ e l ì a
πτολεμαίος	p t o l e m è o s
διαπιστώνεται	ð i/j a p i s t ò n e t e
φάνηκαν	f à n i k a n
στηθεί	s t i θ ì
παρασκήνιο	p a r a s c ì ɲ o
κρυμμένο	k r i m è n o
μπαίνεις	b è n i s
πάς	p à s
ανεπτυγμένες	a n e p t i ɣ m è n e s
διπλωματία	ð i p l o m a t ì a
κατανομής	k a t a n o m ì s
λουκ	l u k
διασποράς	ð i/j a s p o r à s
βαγδάτη	v a ɣ ð à t i
ρέστα	r è s t a
βαρβαρότητα	v a r v a r ò t i t a
γυμνή	ʝ i m n ì
σπουδαίος	s p u ð è o s
αμερικάνοι	a m e r i k à n i
επιταχύνει	e p i t a ç ì n i
φράγμα	f r à ɣ m a
διαβήτης	ð i/j a v ì t i s
εκκλησιών	e k l i s ç ò n
τρόμος	t r ò m o s
ξεπεραστεί	k s e p e r a s t ì
αριστερών	a r i s t e r ò n
εκτελείται	e k t e l ì t e
παιγνίδι	p e ɣ n ì ð i
συντελεστής	s i d e l e s t ì s
σερρών	s e r ò n
ακρίβειας	a k r ì v i a s
εδεκ	e ð e k
πραγμα	p r a ɣ m a
συμφωνήσουν	s i m f o n ì s u n
τσιμέντο	t s i m è d o
ξέσπασμα	k s è s p a z m a
θερμό	θ e r m ò
επιχειρηματιών	e p i ç i r i m a t ç ò n
δινει	ð i n i
ναυτικού	n a f t i k ù
μητσοτάκης	m i t s o t à c i s
εσεις	e s i s
ύδωρ	ì ð o r
φιλοσοφικές	f i l o s o f i c è s
δρομο	ð r o m o
ρυθμοί	r i θ m ì
αμφισβητήσει	a m f i s v i t ì s i
αναφέρεσαι	a n a f è r e s e
γαβρά	ɣ a v r à
γελοία	ʝ e l ì a
σωστής	s o s t ì s
προσκλήσεις	p r o s k l ì s i s
ανωμαλίες	a n o m a l ì e s
ιστοριας	i s t o r i/j a s
δοκιμής	ð o c i m ì s
εγχειρήματος	e ɣ ç i r ì m a t o s
κοιτάζουν	c i t à z u n
πενταετία	p e d a e t ì a
κινεζική	c i n e z i c ì
κομματικές	k o m a t i c è s
υπερασπίζεται	i p e r a s p ì z e t e
άγγλος	à g l o s
οικολογία	i k o l o ʝ ì a
παρακολουθείτε	p a r a k o l u θ ì t e
ενεργειακές	e n e r ʝ i a c è s
παρατεταμένη	p a r a t e t a m è n i
γριά	ɣ r ʝ à
τέθηκαν	t è θ i k a n
συσχέτιση	s i s ç è t i s i
αποζημίωσης	a p o z i m ì o s i s
μητρώο	m i t r ò o
εκτελέσεις	e k t e l è s i s
προεδρικές	p r o e ð r i c è s
δέντρου	ð è d r u
παλαιού	p a l e ù
εφιάλτης	e f ç à l t i s
αχιλλέας	a ç i l è a s
όρισε	ò r i s e
δέχτηκαν	ð è x t i k a n
προστατέψει	p r o s t a t è p s i
προσεγγίσει	p r o s e ɟ ì s i
αντιμέτωπος	a d i m è t o p o s
λεπτές	l e p t è s
σχηματίσει	s ç i m a t ì s i
καταναλώνει	k a t a n a l ò n i
αποτροπή	a p o t r o p ì
περιφερειακών	p e r i f e r i a k ò n
ους	u s
αποχώρησε	a p o x ò r i s e
αναφερθούμε	a n a f e r θ ù m e
γενεών	ʝ e n e ò n
αλλου	a l u
επεισοδίων	e p i s o ð i o n
προσωπικούς	p r o s o p i k ù s
ευχαρίστησε	e f x a r ì s t i s e
αλεξίου	a l e k s ì u
διάκρισης	ð ʝ à k r i s i s
διαφημιστικό	ð i/j a f i m i s t i k ò
αντίστοιχης	a d ì s t i ç i s
προστεθούν	p r o s t e θ ù n
μακεδονικό	m a c e ð o n i k ò
κήπους	c ì p u s
θυμός	θ i m ò s
μικροσκόπιο	m i k r o s k ò p i/j o
έφαγα	è f a ɣ a
διατύπωσε	ð i/j a t ì p o s e
μετάβασης	m e t à v a s i s
μνεία	m n ì a
παγωτό	p a ɣ o t ò
πούλησε	p ù l i s e
κανονισμών	k a n o n i z m ò n
αποδεδειγμένα	a p o ð e ð i ɣ m è n a
προτίμησε	p r o t ì m i s e
ανεξάρτητος	a n e k s à r t i t o s
στάνταρ	s t à d a r
βρύση	v r ì s i
προάγει	p r o à ʝ i
κατευθύνει	k a t e f θ ì n i
εκπληκτικά	e k p l i k t i k à
ναυτιλίας	n a f t i l ì a s
προσθέτουμε	p r o s θ è t u m e
λαθών	l a θ ò n
πορτοφόλι	p o r t o f ò l i
χαμό	x a m ò
ενημερώσεις	e n i m e r ò s i s
ξεχωρίσει	k s e x o r ì s i
πατριαρχείου	p a t r i/j a r ç ì u
σώζεται	s ò z e t e
ποδήλατα	p o ð ì l a t a
μεγάλωσα	m e ɣ à l o s a
επιβεβαιωθεί	e p i v e v e o θ ì
έμεναν	è m e n a n
τόσων	t ò s o n
ενεργειακών	e n e r ʝ i a k ò n
τρέχοντα	t r è x o d a
χουν	x u n
προηγήθηκε	p r o i ʝ ì θ i c e
κλέβουν	k l è v u n
διαδικτυακή	ð i/j a ð i k t i a c ì
ιών	i ò n
όντος	ò d o s
κοινωνικοί	c i n o n i c ì
πεπεισμένος	p e p i z m è n o s
παπανικολάου	p a p a n i k o l à u
παραβάσεις	p a r a v à s i s
ρεαλιστικό	r e a l i s t i k ò
αναστάτωση	a n a s t à t o s i
χίο	ç ì o
προβληματα	p r o v l i m a t a
ζήτω	z ì t o
δωρεές	ð o r e è s
ευρύτερου	e v r ì t e r u
ανταμοιβή	a d a m i v ì
ποικίλα	p i c ì l a
συμμαχίες	s i m a ç ì e s
αιχμή	e x m ì
δυνατοί	ð i n a t ì
κάθαρση	k à θ a r s i
επιτυχημένο	e p i t i ç i m è n o
φλυτζάνι	f l i t z à n i
μονος	m o n o s
στεριά	s t e r ʝ à
φταίω	f t è o
ψηφιακών	p s i f i/j a k ò n
ξέφυγε	k s è f i ʝ e
θεματική	θ e m a t i c ì
μπορουσε	b o r u s e
λίαν	l ì a n
βούλγαροι	v ù l ɣ a r i
ακροατές	a k r o a t è s
αναδειχθεί	a n a ð i x θ ì
πεζοδρόμια	p e z o ð r ò m i/j a
ανίκανος	a n ì k a n o s
κρατούμενοι	k r a t ù m e n i
κυμάτων	c i m à t o n
ευαισθησίας	e v e s θ i s ì a s
σώζονται	s ò z o d e
ελλείμματος	e l ì m a t o s
οίκου	ì k u
αποφασισμένος	a p o f a s i z m è n o s
κατασκευάζει	k a t a s c e v à z i
λαμβάνουμε	l a m v à n u m e
γιάννενα	ʝ à n e n a
οικισμούς	i c i z m ù s
ελέγξτε	e l è ɣ k s t e
λοιμώξεις	l i m ò k s i s
τοποθετηθούν	t o p o θ e t i θ ù n
χρηματική	x r i m a t i c ì
αποκατασταθεί	a p o k a t a s t a θ ì
συναίνεσης	s i n è n e s i s
εκθέτει	e k θ è t i
μισθοί	m i s θ ì
έσπευσαν	è s p e f s a n
κοιτάνε	c i t à n e
κατορθώσει	k a t o r θ ò s i
στάθηκαν	s t à θ i k a n
κινητήρας	c i n i t ì r a s
υγρή	i ɣ r ì
τροχαία	t r o ç è a
αναγκάστηκαν	a n a g à s t i k a n
ανηλίκων	a n i l ì k o n
αιγάλεω	e ɣ à l e o
διαβάζεται	ð i/j a v à z e t e
τρομακτικό	t r o m a k t i k ò
καμπύλη	k a b ì l i
αποκαλύφθηκε	a p o k a l ì f θ i c e
μηχανικούς	m i x a n i k ù s
φτιάχνω	f t ç à x n o
πολυάριθμες	p o l i à r i θ m e s
κατέληξα	k a t è l i k s a
συμβούλια	s i m v ù ʎ a
κατεύθυνσης	k a t è f θ i n s i s
τρομάζει	t r o m à z i
ανέδειξε	a n è ð i k s e
κόμικς	k ò m i k s
λαχτάρα	l a x t à r a
έδινα	è ð i n a
καταδίκασε	k a t a ð ì k a s e
αυξημένα	a v k s i m è n a
διαπιστώνουμε	ð i/j a p i s t ò n u m e
δημοτικής	ð i m o t i c ì s
ιατροί	i a t r ì
χωρισμό	x o r i z m ò
κοινοτικά	c i n o t i k à
διατηρήσουμε	ð i/j a t i r ì s u m e
χορηγούνται	x o r i ɣ ù d e
πρωτότυπα	p r o t ò t i p a
αλί	a l ì
κυκλοφόρησαν	c i k l o f ò r i s a n
ενημερώνεται	e n i m e r ò n e t e
απαγόρευσης	a p a ɣ ò r e f s i s
ιδεολογίες	i ð e o l o ʝ ì e s
αξιωματικής	a k s i o m a t i c ì s
υπαλλήλου	i p a l ì l u
εξεταστική	e k s e t a s t i c ì
συμβίωσης	s i m v ì o s i s
αστρονόμοι	a s t r o n ò m i
πολύπλοκη	p o l ì p l o c i
περιορίζουν	p e r i/j o r ì z u n
χορούς	x o r ù s
ιταλικό	i t a l i k ò
διήγημα	ð i ì ʝ i m a
ελικόπτερα	e l i k ò p t e r a
εμπίπτουν	e b ì p t u n
φασίστες	f a s ì s t e s
αναδεικνύεται	a n a ð i k n ì e t e
πρωταρχική	p r o t a r ç i c ì
γύρου	ʝ ì r u
αγαπάτε	a ɣ a p à t e
αντιμετώπιζε	a d i m e t ò p i z e
μηχανημάτων	m i x a n i m à t o n
ανάβει	a n à v i
οικογένειές	i k o ʝ è n i è s
ψυχικό	p s i ç i k ò
χειρισμούς	ç i r i z m ù s
συνοπτικά	s i n o p t i k à
περιεχομενα	p e r i/j e x o m e n a
αιτιολογία	e t i/j o l o ʝ ì a
δειλά	ð i l à
παραλείψεις	p a r a l ì p s i s
ελεγχόμενη	e l e ɣ x ò m e n i
πάτησε	p à t i s e
θεωρούσα	θ e o r ù s a
διευθύνει	ð i e f θ ì n i
τροχό	t r o x ò
βαθύτερο	v a θ ì t e r o
παλικάρια	p a l i k à r i/j a
καταδεικνύει	k a t a ð i k n ì i
χωρίζουν	x o r ì z u n
ελκυστικό	e l c i s t i k ò
τωρινή	t o r i n ì
φροντιστήρια	f r o d i s t ì r i/j a
φύλαξη	f ì l a k s i
λάστιχα	l à s t i x a
μελλοντικών	m e l o d i k ò n
μειώθηκαν	m i ò θ i k a n
εφαρμόσουμε	e f a r m ò s u m e
διαμορφώθηκαν	ð i/j a m o r f ò θ i k a n
εισέρχονται	i s è r x o d e
εξειδικευμένο	e k s i ð i c e v m è n o
αντώνιος	a d ò ɲ o s
μάρτυρα	m à r t i r a
πολιορκία	p o ʎ o r c ì a
πρόσληψης	p r ò z l i p s i s
οξέα	o k s è a
κινηθούν	c i n i θ ù n
συνεργαστούν	s i n e r ɣ a s t ù n
ηλιακού	i ʎ a k ù
κύριους	c ì r i/j u s
βελτιώνεται	v e l t ç ò n e t e
σεξουαλικότητα	s e k s u a l i k ò t i t a
φορολογικές	f o r o l o ʝ i c è s
εγκαταλείπουν	e g a t a l ì p u n
άντεξε	à d e k s e
οργανωμένες	o r ɣ a n o m è n e s
δημοσιευτεί	ð i m o s i e f t ì
ερέθισμα	e r è θ i z m a
αθανασίου	a θ a n a s ì u
έπεισε	è p i s e
στείλτε	s t ì l t e
λαθρομετανάστες	l a θ r o m e t a n à s t e s
αρχίζοντας	a r ç ì z o d a s
κάμπο	k à b o
κρεβάτια	k r e v à t i/j a
προμηθειών	p r o m i θ i ò n
αρχικού	a r ç i k ù
συζητηθούν	s i z i t i θ ù n
τεχνικούς	t e x n i k ù s
φωτογραφικό	f o t o ɣ r a f i k ò
ιστότοπο	i s t ò t o p o
απεριόριστη	a p e r ʝ ò r i s t i
αντρέας	a d r è a s
μερίσματος	m e r ì z m a t o s
επέδειξε	e p è ð i k s e
προσφορών	p r o s f o r ò n
δράσει	ð r à s i
αρχιτέκτονες	a r ç i t è k t o n e s
άμστερνταμ	à m s t e r d a m
ασκήσεων	a s c ì s e o n
υφή	i f ì
γυρίζουν	ʝ i r ì z u n
ακοή	a k o ì
προγραμματίσει	p r o ɣ r a m a t ì s i
υπερασπιστεί	i p e r a s p i s t ì
δυσμενείς	ð i z m e n ì s
χαρίσματα	x a r ì z m a t a
ωριμότητα	o r i m ò t i t a
ασυνήθιστο	a s i n ì θ i s t o
αποφασίσουμε	a p o f a s ì s u m e
μπάτσοι	b à t s i
ισχύσει	i s ç ì s i
κοιτάω	c i t à o
ισραηλινών	i z r a i l i n ò n
αλά	a l à
γίνη	ʝ ì n i
μιλάνο	m i l à n o
αχιλλέα	a ç i l è a
στρατηγό	s t r a t i ɣ ò
συρίας	s i r ì a s
ελληνικούς	e l i n i k ù s
απολαύσουν	a p o l à f s u n
αμυντικός	a m i d i k ò s
οικογενειακής	i k o ʝ e n i a c ì s
πίστεψε	p ì s t e p s e
δυναμικής	ð i n a m i c ì s
